law_id,law_name,law_number,law_year,article_number,article_label,binding_type,needs_executive_regulation,superseded_by,start_page,end_page,text,text_length
consumer_181_2018,قانون حماية المستهلك,181,2018,6,مادة 6,general,False,,2,3,"المعلِن: كل شخص يقوم باالعالن عن سلعة او خدمة او الترويج لها بذاته او بواسط ة غيره باستخدام اي وسيلة من الوسايل االعالمية او االعالنية، بما
في ذلك الوسايل الرقمية. ويُعدّ مُعلنًا، طالب االعالن والوسيط االعالني والوكالة االعالنية ووسيلة
االعالن، وذلك كله وفقا للمواصفات القياسية المصرية
الخاصة باشتراطات االعالن عن السلع والخدمات.

7
- العيب: كل نقص في قيمة او منفعة اي من المنتجات بحسب الغاية المقصودة
منها، ويودي بالضرورة الي حرمان المستهلك كليًا او جزييًا من االستفادة
بها فيما اعدت من اجله، بما في ذلك النقص الذي ينتج من خطا في مناولة السلعة او تخزينها، وذلك كله ما لم يكن المستهلك قد ت
سبب في وقوع هذا النقص.
8
- التعاقد عن بعد: عمليات عرض المنتجات او بيعها او شرايها باستخدام شبكة المعلومات الدولية (االنترنت)، او اي وسيلة من وسايل االتصال المريية
والمسموعة والمقروءة، او عن طريق الهاتف او اي وسيلة اخري.

9
- المسابقات: كل عمل يُعرض علي الجم
هور مباشرة او بواسطة وسيلة اعالمية او
اي وسيلة اخري، تحت اي مسمي، بما يبعث لدي الجمهور امل
قانون حماية المستهلك رقم181

لسنة2018

الحصول علي جوايز مالية او عينية مقابل تحملهم اعباءً مالية ايًا كانت قيمتها.

10
- السلوك الخادع: كل فعل او امتناع عن فعل من جانب المنتج او المعلن
يودي الي خلق انطباع غير حقيقي او مضلل لدي المستهلك، او يودي الي
وقوعه في خلط او غلط.

11
- الوزير المختص: رييس مجلس الوزراء.

2
حرية ممارسة النشاط االقتصادي مكفولة للجميع، ويحظر علي اي شخص ابرام اي
اتفاق او ممارسة اي نشاط يكون من شانه االخالل بحقوق المستهلك
،االساسية وعلي االخص:

1
- الحق في الصحة والسالمة عند استعماله العادي للمنتجات.

2
- الحق في الحصول علي جميع المعلومات والبيانات الصحيحة عن الخدمات او المنتجات التي يشتريها او يستخدمها او تقدم اليه.

3
- الحق في االختيار الحر لمنتجات تتوافر فيها شروط الجودة المطابقة للمواصفات وا لسعر العادل التنافسي الذي تحدده اليات السوق.",1706
consumer_181_2018,قانون حماية المستهلك,181,2018,4,مادة 4,general,False,,3,3,"الحق في الحفاظ علي الكرامة الشخصية واحترام العادات والتقاليد المجتمعية.

5
- الحق في المشاركة في الموسسات والمجالس واللجان التي يتصل عملها بحماية المستهلك.",155
consumer_181_2018,قانون حماية المستهلك,181,2018,6,مادة 6,mandatory,False,,3,4,"الحق في رفع الدعاوي القضايية عن كل ما من شانه اال
خالل بحقوق المستهلك او االضرار بها او تقييدها، وذلك باجراءات سريعة وميسرة.

7
- الحق في الحصول علي تعويض عادل عن االضرار التي تلحق بالمستهلك او بامواله جراء شراء المنتجات او استخدامها او تلقي الخدمات.
وذلك كله دون
االخالل بما تقضي به المعاهدات واالتفاقيات
الدولية النافذة في جمهورية مصر العربية.

*الباب الثاني*

*التزامات المورد والمعلن*

الفصل االول
*االلتزامات العامة*

3
يلتزم المورد بقواعد الصحة والسالمة ومعايير الجودة وضمانها للمستهلك في منتجاته وفقًا للمواصفات القياسية المصرية، او وفقًا للمواصفات الدولية
ا
لمعتمدة في مصر في حال عدم وجودها.

4
يلتزم المورد باعالم المستهلك بجميع البيانات الجوهرية عن المنتجات، وعلي
االخص مصدر المنتج وثمنه وصفاته وخصايصه االساسية، واي بيانات اخري
قانون حماية المستهلك رقم181

لسنة2018

تحددها الاليحة التنفيذية لهذا القانون بحسب طبيعة المنتج.

5
يلتزم المورد بان تكون جمي
ع االعالنات والبيانات والمعلومات والمستندات والفواتير وااليصاالت والعقود بما في ذلك المحررات والمستندات االلكترونية
وغير ذلك مما يصدر عنه في تعامله مع المستهلك، مدونًا باللغة العربية وبخط واضح تسهل قراءته. كما يلتزم بان يضع عليها البيانات التي من شانها تحد يد
شخصيته، وعلي االخص عنوانه وطرق االتصال به، وبيانات قيده في السجل الخاص بنشاطه، وعالمته التجارية ان وجدت.
ويجوز ان تكون تلك البيانات
مدونة بلغتين او اكثر علي ان تكون احداها باللغة العربية.

6
يلتزم المورد بان يضع علي السلع البيانات التي توجبها المواصفات ا
لقياسية المصرية او القانون او الاليحة التنفيذية لهذا القانون باللغة العربية بشكل
واضح تسهل قراءته، وذلك علي النحو الذي يتحقق به الغرض من تلك البيانات حسب طبيعة كل منتج وطريقة االعالن عنه او عرضه او التعاقد عليه.

ويلتزم مقدم الخدمة بان يحدد بطريقة واضحة بيا،نات الخدمة التي يقدمها ومميزاتها، وخصايصها، واماكن تقديمها ومواعيدها.

7
يلتزم المورد بان يعلن اسعار السلع او الخدمات التي يعرضها او يقدمها، بشكل
واضح علي ان يتضمن السعر ما يفرضه القانون من ضرايب او اي فرايض
مالية اخري، وذلك وفقًا للضوابط التي تحددها الالي حة التنفيذية لهذا القانون.

8
يُحظر حبس المنتجات االستراتيجية المعدة للبيع عن التداول باخفايها، او عدم
طرحها للبيع، او االمتناع عن بيعها، او باي صورة اخري.

ويصدر قرار من رييس مجلس الوزراء بتحديد المنتجات االستراتيجية لفترة زمنية
محددة وضوابط تداولها والجهة
المختصة بذلك، ويُنشر القرار في جريدتين
يوميتين واسعتي االنتشار. ويلتزم حايزو المنتجات االستراتيجية لغير االستعمال الشخصي باخطار الجهة المختصة بالسلع المخزنة ليهم وكمياتها.

9
يلتزم المورد او المعلن بتجنب اي سلوك خادع، وذلك متي انصب هذا السلوك علي اي عنصر من العناصر االتية:

1
- طبيعة السلعة او صفاتها الجوهرية او العناصر التي تتكون منها او كميتها.

2
- مصدر السلعة او وزنها او حجمها او طريقة صنعها او تاريخ انتاجها او تاريخ صالحيتها او شروط استعمالها او محاذيره.

3
- خصايص المنتج والنتايج المتوقعة من استخدامه.",2664
consumer_181_2018,قانون حماية المستهلك,181,2018,4,مادة 4,general,False,,4,4,"السعر او كيفية ادايه، ويدخل في ذلك اي مبالغ يتم اضافتها للسعر وعلي وجه الخصوص قيمة الضرايب المضافة.

5
- جهة انتاج السلعة او تقديم الخدمة.",138
consumer_181_2018,قانون حماية المستهلك,181,2018,6,مادة 6,mandatory,False,,4,8,"نوع الخدمة ومكان تقديمها ومحاذير استخدامها وصفاتها الجوهرية سوا ء
انصبت علي نوعيتها او الفوايد من استخدامها.

7
- ش
روط التعاقد واجراءاته، وخدمة ما بعد البيع، والضمان.

8
- الجوايز او الشهادات او عالمات الجودة التي حصل عليها المنتج او السلعة او الخدمة.
قانون حماية المستهلك رقم181

لسنة2018

9
- العالمات التجارية او البيانات او الشعارات.

10
- وجود تخفيضات علي السعر علي خالف الحقيقية.

11
- الكميات المتاحة من ال
منتجات.

ويجوز لاليحة التنفيذية لهذا القانون اضافة عناصر اخري.

10

يلتزم المورد بان يسلم المستهلك فاتورة تثبت التعامل او التعاقد معه علي
،المنتج، متضمنة بصفة خاصة رقم تسجيله الضريبي، وتاريخ التعامل او التعاقد
وثمن المنتج ومواصفاته، وطبيعته ونوعيته وكميته، واي بيانات اخري تحددها الاليحة التنفيذية لهذا القانون، وتبين الاليحة االحوال التي يُكتفي فيها
ببيان او اكثر مما ذكر.

11

( اذا لم يسلم المورد الفاتورة علي النحو المبين في المادة10
)من هذا القانون، يكون للمستهلك الحق في اثبات مواصفات المنتج وساير عناصر التعاقد
ب
جميع طرق االثبات.

12

يلتزم المورد في حالة االتفاق علي حجز منتج بان يسلم المستهلك ايصاالً يفيد الحجز، موضحًا به خصايص المنتج وصفاته واي بيانات جوهرية اخري تحددها
الاليحة التنفيذية لهذا القانون بحسب طبيعة المنتج والتعاقد
13

يحظر استيراد منتجات او انتاجها او تد اولها او االعالن عنها علي نحو يكون من شانه التمييز بين المواطنين او االساءة اليهم، او االخالل بقواعد النظام
العام او االداب العامة.

14

ال يجوز االعالن عن المسابقات باي وسيلة اال بعد اخطار الجهاز بالبيانات
التي تحددها الاليحة التنفيذية لهذا القانون قبل موعد
االعالن بثالثة ايام
علي
االقل وللجهاز ان يوقف المسابقة واي اعالنات في شانها اذا تبين له عدم
( جدية المسابقة، او انها خادعة، او كان االعالن عنها مخالفًا لنص المادة13
)
من هذا القانون.
( ويصدر قرار الوقف وفقا للقواعد واالجراءات المنصوص عليها في المادة57
)منه.

15

ال يجوز االعالن عن حجز وحدات عقارية، او التعاقد علي بيعها، او بيع االراضي المعدة للبناء، او تقسيمها، اال بعد الحصول علي ترخيص بالبناء وفقا
الحكام قانون البناء الصادر بالقانون رقم119

لسنة2008

وال يجوز ان يتضمن التعاقد اي شرط بتقاضي البايع او خلفه نسبة
او رسوما او
عمولة من ثمن
تصرف المشتري في الوحدة العقارية، او مقابل هذا التصرف. ويقع باطالً كل شرط يخالف ذلك.

16

يحظر علي الموردين التردد علي الوحدات السكنية لعرض المنتجات او بيعها دون طلب مسبق وصريح من المستهلك وفقا لالجراءات التي تحددها الاليحة
التنفيذية
لهذا القانون.
قانون حماية المستهلك رقم181

لسنة2018

17

،للمستهلك الحق في استبدال السلعة او اعادتها مع استرداد قيمتها النقدية
،دون ابداء اي اسباب ودون تحمل اي نفقات خالل اربعة عشر يومًا من تسلمها
،وذلك دون االخالل باي ضمانات او شروط قانونية او اتفاقية افضل للمستهلك وللجهاز ان يحدد مددا اقل بالنظ
ر الي طبيعة بعض السلع.
واستثناءً من احكام
الفقرة االولي من هذه المادة، ال يجوز للمستهلك مباشرة حق االستبدال او االعادة في االحوال االتية:

1
- اذا كانت طبيعة السلعة او خصايصها او طريقة تعبيتها او تغليفها تحول دون استبدالها او ردها، او يستحيل معه اعادتها الي الحالة التي كانت عليها
عند التعاقد.

2
- اذا كانت السلعة من السلع االستهالكية القابلة للتلف السريع.

3
- اذا لم تكن السلعة بذات الحالة التي كانت عليها وقت البيع لسبب يرجع الي المستهلك.

4 -
،اذا كانت من السلع التي تصنع بناء علي مواصفات خاصة حددها المستهلك وك
انت السلعة مطابقة لهذه المواصفات.

5
- الكتب والصحف والمجالت, والبرامج المعلوماتية وما يماثلها.
ويجوز لاليحة التنفيذية لهذا القانون اضافة حاالت اخري.

18

يلتزم المورد بوضع بيان يتضمن حقوق المستهلك في االستبدال واالسترجاع
المعتمدة من الجهاز، والمنصوص عليها في
هذا القانون واليحته التنفيذية في
مكان ظاهر داخل اماكن عرض المنتجات او بيعها. ويحظر علي المورد تعليق بيع المنتجات علي شرط مخالف للعرف التجاري، او شرط
بيع كمية معينة، او
ربط البيع بشراء منتجات اخري، او غير ذلك من الشروط.

19

يلتزم المورد خالل مدة اقصاها سبعة ا
يام من اكتشافه او علمه بوجود عيب في المنتج ان يبلغ الجهاز بهذا العيب وباضراره المحتملة.
فاذا كان من شان العيب
االضرار بصحة المستهلك او سالمته، التزم المورد بان يبلغ الجهاز بهذا العيب فور اكتشافه او علمه به، وان يعلن توقفه عن انتاج
،المنتج او التعامل عليه
و
ان يحذر المستهلكين من استخدامه بالنشر في وسايل االعالم المختلفة. ويلتزم المورد في اي من االحوال المشار اليها، باصالح العيب او باستبدال
المنتج او
استرجاعه مع رد قيمته دون اي تكلفة اضافية علي المستهلك. وال يتم استيناف االنتاج او التعامل علي المنتج من جانب ال
مورد اال بعد موافقة الجهاز.
وتحدد
الاليحة التنفيذية لهذا القانون االجراءات الالزمة لذلك.”

20

يضمن المورد جودة المنتج محل التعاقد وسالمته طوال فترة الضمان، كما يضمن توافر المواصفات التي تم التعاقد بناءً عليها.

21

للمستهلك الحق خالل ثالثين يومًا من تسلم السلعة في استبدالها او اعادتها مع استرداد قيمتها النقدية، اذا شابها عيب او كانت غير مطابقة للمواصفات او
للغرض الذي تم التعاقد عليها من اجله. ويلتزم المورد في هذه االحوال بناء علي طلب المستهلك باستبدال السلعة او
استردادها مع رد قيمتها دون اي تكلفة
اضافية علي المس تهلك، وكل ذلك دون االخالل باي ضمانات او شروط قانونية او اتفاقية افضل للمستهلك او ما يحدده
الجهاز من مدد اقل بالنظر الي طبيعة
السلعة. وتحدد الاليحة التنفيذية لهذا القانون االحكام واالجراءات الالزمة لذلك.
قانون حماية المستهلك رقم181

لسنة2018

22

يلتزم المورد بضمان السلع المعمرة ضد عيوب الصناعة لم
دة عامين علي االقل من
تاريخ استالم المستهلك للسلعة، وذلك مع عدم االخالل باي ضمانات او
شروط قانونية او اتفاقية افضل للمستهلك.

ويصدر رييس مجلس الوزراء بناءً علي عرض الوزير المختص بشيون الصناعة، قرارًا بتحديد السلع المعمرة وفقا للمعايير التي تحددها الاليحة ا
لتنفيذية لهذا
القانون. وفي حالة المنتجات التي تحتاج الي تركيب او تشغيل من جانب المورد تحسب مدة
الضمان من تاريخ التركيب او التشغيل الفعلي، بحد اقصي شهران
من تاريخ استالم المستهلك للمنتج، ويجب ان يسلم المورد الي المستهلك ايصاالً مبينًا به
تاريخ التشغيل الفعل
ي.

23

يشمل الضمان اعمال الكشف والفحص واالصالح وقطع الغيار االصلية باالضافة الي
تجمل نفقات انتقال الفنيين ونفقات نقل المنتج عند الحاجة الي االصالح
من مقر المستهلك الي مقر الشركة او مركز الصيانة واعادته الي مقر المستهلك بعد
االصالح، بما في ذلك نفقات التركيب و
التشغيل.
ويلتزم المورد خالل فترة
،الضمان باعالم المستهلك بفترات الصيانة الدورية وبان يسلم المستهلك ايصاالً موضحًا به ما تم من اعمال اصالح وصيانة، واذا لم
يقم المورد باصالح المنتج
التزم بان يستبدل بالسلعة اخري جديدة من ذات النوع والمواصفات، او رد قيمتها، وذ
لك كله وفقا للمدد واالحوال التي تحددها
الاليحة التنفيذية لهذا القانون.

24

يلتزم المورد اذا تكرر في السلعة العيب ذاته اكثر من مرتين خالل العام االول من تاريخ استالم المستهلك لها بما يوثر جوهريًا علي جودة االداء
الوظيفي
للسلعة بان يستبدل بها اخري جديدة من ذات النوع والمواصفات دون اي تكلفة علي المستهلك او استردادها مع رد قيمتها، ما لم يحدد الجهاز مدة اقل
من
المدة المشار اليها بالنظر الي طبيعة السلعة، وذلك طبقًا لما تحدده
الاليحة التنفيذية لهذا القانون.

25

يلتزم مورد الخدمة برد مقابل الخدمة او مقابل ما يجبر النقص فيها او اعادة تقديمها الي المستهلك في حالة وجود عيب او نقص بها وفقًا لطبيعتها وشروط
التعاقد عليها والعرف التجاري، او تنفيذ ما يقرره الجهاز عند الخالف.

26

يضمن مورد خدمات التشطيبات والصيانة والتركيبات المنزلية صالحية ما قام بتنفيذه من اعمال وما تم توريده من منتجات لمدة سنة علي االقل، ما لم يحدد
الجهاز مدة اقل بالنظر الي طبيعة االعمال او المنتجات، ويكون الضمان ثالث سنوات علي االقل اذا كان العيب راجعًا لغش او اهمال جسيم.
ويلتزم المورد عند
تحقق شروط المسيولية عن عدم الصالحية باعادة تقديم الخدمة او برد مقابلها ا
و ما يجبر النقص فيها، وباستبدال ما تم توريده من
،المنتجات او رد قيمتها
او تنفيذ ما يقرره الجهاز عند الخالف. ويلتزم مورد خدمات التشطيبات والصيانة والتركيبات المنزلية بان يسلم
المستهلك وقت التعاقد وقبل مباشرة االعمال
المتعاقد عليها، ايصاالً يثبت التعامل وموا
صفاته والتكلفة المتوقعة، واي بيانات اخري تحددها الاليحة
التنفيذية لهذا القانون.

وتبين الاليحة التنفيذية لهذا القانون االحوال التي يكتفي فيها ببيان او اكثر مما ذكر، وذلك بحسب طبيعة المنتج والعرف التجاري، فاذا لم يسلم المورد
االيصال
علي النحو المبين بالفقرة
السابقة، يكون للمستهلك اثبات ساير عناصر التعاقد بكل طرق االثبات.
قانون حماية المستهلك رقم181

لسنة2018

27

يكون المُنتج مسيوالً عن كل ضرر يلحقه المُنتج او يحدثه اذا ثبت ان الضرر نشا بسبب عيب في المنتج يرجع الي تصميمه او صنعه او تركيبه.
ويكون
المورد مسيوالً عن كل ضرر يلحقه او يحدثه المنتج يرجع ال
ي طريقة استعماله استعماالً خاطيًا اذا ثبت ان الضرر بسبب تقصير المورد في اتخاذ
الحيطة
الكافية لمنع وقوع الضرر او التنبيه الي احتمال وقوعه. ويكون الموزع او البايع مسيوالً عن كل ضرر يلحقه او يحدثه المنتج اذا ثبت ان
الضرر نشا بسبب
عيب يرجع الي طريقة اعداده لال
ستهالك او حفظه او تعبيته او تداوله او عرضه.وفي جميع االحوال تكون مسيولية الموردين تضامنية.

28

يقع باطالً كل شرط يرد في عقد او وثيقة او مستند او غير ذلك مما يتعلق بالتعاقد مع المستهلك، اذا كان من شانه خفض اي من التزامات المورد الواردة
بهذا القانون او اليحته
التنفيذية او اعفاوه منها.

29

يلتزم المورد الذي ابرم العقد بالحفاظ علي المعلومات والبيانات الخاصة بالمستهلك، واال يتداولها او يفشيها بما يخالف احكام هذا القانون او
القوانين المتعلقة
بهذا الشان، ما لم يثبت قبول المستهلك صراحة بذلك، كما يلتزم باتخاذ جميع االحت
ياطيات الضرورية للحفاظ علي سرية وخصوصية هذه البيانات والمعلومات.
وللنايب العام او من يفوضه من المحامين العموم علي االقل، سواء من تلقاء نفسه او بناءً علي طلب جهة رسمية او احد ذوي الشان، ان يامر باالطالع او
بالحصول علي اي بيانات او معلومات خاصة بالمستهلك اذا اقتضي ذلك كشف الحقيقة في جناية او جنحة قامت داليل جدية علي وقوعها.
وفي جميع
االحوال، للمحكمة المختصة االطالع علي تلك البيانات او المعلوماتبمناسبة نظر نزاع معروض عليها.

الفصل الثاني*

*احكام خاصة ببعض التعاقدات*

30

يلتزم المورد في حالة البيع بالتقسيط بتسليم المستهلك فاتورة او محررًا يشمل البيانات االتية:

1
- السعر االجمالي للبيع.

2
- ثمن البيع للمنتج نقدًا.

3
- العايد السنوي، ومجموع العايد المستحق عن فترة التقسيط.",9228
consumer_181_2018,قانون حماية المستهلك,181,2018,4,مادة 4,mandatory,False,,8,8,"المبلغ الذي يتعين علي المستهلك دفعه مقدمًا، ان وجد.

5
- الجهة المقدمة للمنتج بالتقسيط، ومدت
ه، وعدد االقساط، وقيمة كل قسط.",123
consumer_181_2018,قانون حماية المستهلك,181,2018,6,مادة 6,mandatory,False,,8,10,"حقوق والتزامات كل من المستهلك والمورد في حالة اخالل اي منهما بشروط االتفاق.

31

للمستهلك الحق في اي وقت في سداد كل االقساط قبل موعد استحقاقها، علي ان
يخفض من قيمة ما يتم سداده مقدار العايد المستحق عن باقي المدة، ما لم
يتفق علي غير ذلك.
قانون حماية المستهلك رقم181

لسنة2018

32

في حالة التعاقد بنظام اقتسام الوقت (التايم شير)، او المشاركة الجزيية في الملكية، يكون للمستهلك الحق في الرجوع في العقد خالل اربعة عشر يوما من
تاريخ توقيعه دون ابداء اسباب، ودون تحمل اي نفقات، وذلك دون االخالل بالقوانين او القرارات المنظمة له
ذه التعاقدات.
وتسري احكام هذا القانون علي
التعاقد بنظام الملكية الجزيية او اي انظمة اخري مشابهة لنظام اقتسام الوقت.

33

تلتزم مراكز الخدمة والصيانة بابالغ المستهلك ببيان باعمال الصيانةواالصالح الالزمة للمنتج، ومدة االصالح وتكلفته، ويجب عليها الح
صول علي موافق ته
الصريحة علي هذه االعمال قبل اجرايها. كما تلتزم باصدار فاتورة للمستهلك توضح بها ما تم من اعمال الصيانة وما تم
استبداله من اجزاء للمنتج محل
الخدمة. وتضمن المراكز المشار اليها سالمة المنتج في حدود خدمة االصالح وفقًا لطبيعة الخدمة وشروط التعاقد او الحدود ال
دنيا للضمان التي تحددها الاليحة
التنفيذية لهذا القانون. كما تلتزم عند تحقق شروط المسيولية عن سالمة االصالح اما برد ما حصلته من
مقابل للخدمة او باعادة تقديم الخدمة بغير اي تكلفة
،اضافية علي المستهلك وذلك ما لم يكن العيب قد نشا لسبب اجنبي او لخطا المستهلك.

34

يلتزم المورد بتوفير مراكز الخدمة والصيانة واالصالح وقطع الغيار االصلية او المعتمدة للسلع المستوردة او المنتجة محليًا.
ويلتزم المورد باخطار الجهاز
بمراكز الخدمة والصيانة المعتمدة، وباي تغيير
يطرا عليها علي النحو الذي تحدده الاليحة التنفيذية لهذا القانون. و يحدد مجلس ادارة الجهاز بقرار منه يصدر
بعد اخذ راي اتحادات االعمال المعنية، مدة تنفيذ االلتزام الوارد بالفقرة االولي من هذه المادة والسلع التي تعفي منه بسبب طبيعتها او بسبب العادات التجارية.

35

في حالة بيع السلع المستعملة، يلتزم المورد بان يبين للمستهلك حالة السلعة
وما بها من عيوب، وذلك علي النحو الذي تبينه الاليحة التنفيذية لهذا القانون.
وفي حالة بيع المركبات المستعملة، يلتزم المورد بان يقدم الي المستهلك تقريرًا فنيًا بحالة المركبة وما بها من عيوب صادرًا من مركز خدمة مرخص له
بمزاولة
هذا النشاط، ما لم يتفق عل
ي خالف ذلك. وتكون مسيولية المورد ومركز الخدمة مصدر التقرير تضامنية اذا ثبت تعمد اي
منهما اخفاء بيانات جوهرية توثر
،علي ثمن الشراء او علي اتمام عملية البيع او كان عدم تضمن تقرير الفحص تلك البيانات راجعًا الي اهمال جسيم من جانب اي منهما.

الفصل الثالث
التعاق
د عن بعد
36

ال تسري احكام هذا الفصل علي العقود المبرمة بين المستهلك والمورد او المعلن بحسب االحوال، في الحالتين االتيتين:

1
- الخدمات المصرفية والمالية والخدمات المرتبطة بالتداول في سوق راس المال.

2
- التعاقد لالشتراك في الصحف وغيرها من المطبوعات الدورية.

و
يجوز لاليحة التنفيذية لهذا القانون اضافة حاالت اخري تستثني من تطبيق احكام هذا الفصل.

37

،يلتزم المورد قبل ابرام العقد عن بعد بان يمد المستهلك بشكل جلي وصريح بالمعلومات والبيانات التي تمكنه من اتخاذ قراره بالتعاقد، وعلي االخص ما ياتي:
قانون حماية المستهلك رقم181

لسنة2018

1
- بيانات المورد، وتشم
ل االسم والعنوان ورقم الهاتف والبريد االلكتروني ان وجد، ورقم السجل التجاري والبطاقة الضريبية، وما اذا كان المورد منتميًا
لمهنة
منظمة قانونًا، وصفته المهنية واسم الهيية او التنظيم المهني المسجل او المقيد فيه، باالضافة الي اي معلومات تتيح التعرف علي المصنع ا
و
المستورد
بحسب االحوال.

2
-
،بيانات المنتج محل العرض، بما فيها مصدره وصفاته وخصايصه الجوهرية وكيفية استعماله، والمخاطر التي قد تنتج عن هذا االستعمال ان وجدت.

3
- ثمن المنتج وجميع المبالغ التي قد تضاف الي الثمن، وعلي االخص الرسوم والضرايب ومصاريف الشحن.",3402
consumer_181_2018,قانون حماية المستهلك,181,2018,4,مادة 4,general,False,,10,10,"مدة العرض.

5
- الضمان الذي يقدمه المورد.",41
consumer_181_2018,قانون حماية المستهلك,181,2018,6,مادة 6,mandatory,False,,10,11,"الخدمات التي يقدمها بعد التعاقد ان وجدت.

7
-
مدة العرض الذي يتناول خدمات تقدم بشكل دوري.

8
- تاريخ التسليم ومكانه، والمصاريف المستحقة عند التسليم.

9
- احكام الرجوع في العقد، وخاصة المدة التي يجوز خاللها للمسته
لك الرجوع فيه.

10
-
بيانات مركز الصيانة واسلوب اجراء الصيانة للسلع التي حددها هذا القانون.

11
- بيانات التعاقد التي سترسل الي المستهلك في حالة اتمام عملية التعاقد.
واي بيانات اخري تكفل حقوق المستهلك وتحددها الاليحة التنفيذية لهذا
القانون.

38

اذا ابدي المستهلك قبوله للتعاقد عن بعد، وجب ان يتم تاكيد موافقته، وان يتاح له الحق في تصحيح طلبه او تعديله خالل سبعة ايام عمل من القبول، ما لم
يتفق الطرفان علي مدة اطول، وذلك في االحوال وبالكيفية التي تبينها الاليحة
التنفيذية لهذا القانون.
وفي غير االحوال المستثناة التي يصدر بها قرار من
مجلس ادارة الجهاز بحسب طبيعة التعاقد او العادات التجارية المعمول بها، يتعين علي المورد ان يرسل
الي المستهلك اخطارا كتابيا فور التعاقد متضمنا بيانات
العرض المشار اليها
( في المادة37
)
من هذا القانون، وساير شروط التعاقد، ويجوز
ارسال هذا
االخطار بالبريد االلكتروني او باي وسيط الكتروني اخر قابل
،للحفظ والتخزين وال يجوز ان يشتمل االخطار علي بيانات مغايرة لتلك التي تضمنها عرض المورد.

39

يلتزم المورد في التعاقد عن بعد، وفيما لم يرد في شانه نص خاص في هذا
الفصل، بجميع احكام هذا القانون.

40

مع عدم االخالل باي ضمانات او شروط قانونية او اتفاقية افضل للمستهلك، يحق للمستهلك الذي يتعاقد عن بعد الرجوع في العقد خالل اربعة عشر يوما من
استالمه السلعة. وفي هذه الحالة يلتزم المورد برد المبلغ المدفوع من المستهلك بذات طريقة دفعه، ما لم يتفق علي طريقة ا خري للرد، وذلك خالل مدة ال تجاوز
قانون حماية المستهلك رقم181

لسنة2018

سبعة ايام من تاريخ اعادة المنتج بالنسبة للسلع، او من تاريخ التعاقد بالنسبة
للخدمات، ويتحمل المستهلك نفقات الشحن واعادة المنتج، ما لم ينص العقد
علي غير ذلك.

واذا تاخر المورد في تسليم المنتج عن التاريخ المتفق عليه، او لم يسلم
ه خالل ثالثين يومًا اذا لم يكن قد اتفق علي تاريخ التسليم، يكون للمستهلك
الرجوع
في التعاقد، دون اي نفقات، خالل اربعة عشر يومًا من تاريخ التاخر او من تاريخ االستالم ايهما اطول علي ان يخطر المورد بذلك، وفي هذه الحالة
يلتزم
المورد برد المبلغ المدفوع من المستهل
ك فور اخطاره بالرجوع عن التعاقد وفقًا للكيفية والمدد المنصوص عليهما في الفقرتين السابقتين بحسب
االحوال، ويتحمل
المورد جميع نفقات اعادة الشحن ومصاريف التسليم.
وذلك كله وفقًا لالجراءات التي تحددها الاليحة التنفيذية لهذا القانون.

41

يسقط حق المستهلك في العدول( عن التعاقد المنصوص عليه في المادة
40
)من هذا القانون في الحاالت االتية:

1
- اذا انتفع كليًا بالخدمة قبل انقضاء المهلة المقررة للحق في العدول.

2
- اذا كان االتفاق يتناول سلعًا صنعت بناء علي طلبه، او وفقًا لمواصفات حددها.

3
- اذا كان االتفاق يتناول اشرطة في
ديو او اسطوانات او اقراصًا مدمجة او برامج معلوماتية او مطبوعات ازال المستهلك غالفها.",2648
consumer_181_2018,قانون حماية المستهلك,181,2018,4,مادة 4,general,False,,11,12,"اذا حدث عيب في السلعة نتيجة سوء حيازتها من قبل المستهلك.

5
- في االحوال التي يعد فيها طلب العدول متعارضا مع طبيعة المنتج، او
يخالف العرف التجاري، او يعد تعسفا من جانب
المستهلك في ممارسة الحق في
العدول، وذلك كله علي النحو الذي تحدده الاليحة التنفيذية لهذا القانون.

*الباب الثالث*

*جهاز حماية المستهلك*

42

جهاز حماية المستهلك هو الجهاز المختص بتطبيق احكام هذا القانون، ويتمتع
،بالشخصية االعتبارية العامة، ويتبع الوزير المختص
ومقره الرييسي مدينة
القاهرة، وله ان ينشي فروعًا بجميع المحافظات، وتجوز له االستعانة بجمعيات حماية المستهلك في المحافظات في ممارسة اختصاصاته.

43

يهدف الجهاز الي حماية المستهلك وصون مصالحه، وله في سبيل تحقيق كل ذلك ما ياتي:

1
- وضع الخطط وبرامج العمل لحماية ح،قوق المستهلك، وتعزيزها وتنميتها ووسايل تحقيق كل ذلك.

2
- نشر ثقافة حماية المستهلك، واتاحتها للمواطنين.

3
- تلقي الشكاوي والبالغات بجميع انواعها في مجال حماية المستهلك من المستهلكين والجمعيات، والتحقيق فيها، وتحدد الاليحة التنفيذية لهذا
القانون
المدة الالز
مة للرد علي الشكوي طبقًا للمجموعات السلعية المختلفة بحد اقصي ثالثون يومًا.
قانون حماية المستهلك رقم181

لسنة2018",1059
